columnId,SStrength,EStrength,AStrength,Seq,Len,C_1_way,C_2_way,All C_SStrength_way,Bug,Total,Cost
swagger,2,3,2,6.0,4.00,0.00,0.00,24.0,0.0,268.0,0.15

swagger,2,3,2,3.0,5.00,0.38,0.06,24.0,0.0,398.0,0.27

swagger,2,3,2,6.0,5.00,0.21,0.04,24.0,0.0,586.0,0.44

swagger,2,3,2,4.0,5.00,0.32,0.05,24.0,0.0,536.0,0.31

swagger,2,3,2,3.0,5.00,0.38,0.06,24.0,0.0,402.0,0.24

swagger,2,3,2,5.0,5.00,0.25,0.04,24.0,0.0,570.0,0.36

swagger,2,3,2,5.0,4.00,0.27,0.05,24.0,0.0,474.0,0.29

swagger,2,3,2,3.0,5.00,0.38,0.06,24.0,0.0,314.0,0.22

swagger,2,3,2,4.0,5.00,0.32,0.05,24.0,0.0,528.0,0.32

swagger,2,3,2,5.0,5.00,0.25,0.04,24.0,0.0,590.0,0.36

swagger,2,3,2,5.0,4.00,0.30,0.06,24.0,0.0,492.0,0.27

swagger,2,3,2,4.0,5.00,0.30,0.05,24.0,0.0,324.0,0.23

swagger,2,3,2,4.0,5.00,0.33,0.05,24.0,0.0,448.0,0.29

swagger,2,3,2,5.0,5.00,0.26,0.04,24.0,0.0,403.0,0.33

swagger,2,3,2,5.0,5.00,0.26,0.05,24.0,0.0,411.0,0.41

swagger,2,3,2,4.0,5.00,0.29,0.04,24.0,0.0,688.0,0.65

swagger,2,3,2,6.0,4.00,0.23,0.04,24.0,0.0,655.0,0.66

swagger,2,3,2,4.0,5.00,0.29,0.04,24.0,0.0,578.0,1.18

swagger,2,3,2,5.0,4.00,0.29,0.05,24.0,0.0,583.0,64,0.56

swagger,2,3,2,4.0,6.00,0.27,0.04,24.0,0.0,622.0,64,0.98

swagger,2,3,2,7.0,4.00,0.37,0.08,24.0,1.0,629.0,629,0.98

swagger,2,3,2,5.0,5.00,0.48,0.12,24.0,1.0,479.0,479,0.49

swagger,2,3,2,6.0,5.00,0.41,0.08,24.0,1.0,552.0,552,0.85

swagger,2,3,2,4.0,5.00,0.60,0.13,24.0,1.0,389.0,54,0.47

swagger,2,3,2,5.0,4.00,0.00,0.00,24.0,0.0,313.0,0,0.41

swagger,2,3,2,6.0,5.00,0.00,0.00,24.0,0.0,381.0,0,0.35

swagger,2,3,2,5.0,5.00,0.00,0.00,24.0,0.0,310.0,0,0.29

swagger,2,3,2,6.0,4.00,0.00,0.00,24.0,0.0,352.0,0,0.30

