# ACTS Test Suite Generation: Mon May 22 16:14:55 CST 2023
#  "*" represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 18
# Maximum number of values per parameter: 10
# Number of configurations: 44
P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0
0,2,0,0,0,3,3,0,0,0,3,3,0,0,1,0,0,0
1,3,2,0,1,0,0,2,0,1,0,0,2,0,0,1,0,0
2,0,0,1,2,2,3,0,1,2,0,1,0,1,0,2,1,0
0,1,1,2,0,3,0,1,2,0,1,2,1,2,0,0,1,0
1,2,2,1,0,0,1,2,1,0,2,3,2,1,1,0,1,0
2,3,1,0,2,1,2,1,0,2,3,0,1,0,1,2,1,0
0,0,2,2,1,3,2,0,2,1,0,3,0,2,1,1,2,0
1,1,0,2,2,0,3,0,2,2,1,0,1,0,0,1,2,0
2,2,1,0,0,1,0,2,2,0,2,1,0,1,0,2,2,0
0,3,0,1,1,2,1,1,0,1,3,2,2,2,1,0,2,0
1,0,2,2,0,0,2,2,1,0,3,1,0,2,0,1,3,0
0,1,1,0,1,1,3,0,1,1,0,2,2,1,1,2,3,0
2,2,0,1,2,2,0,1,0,2,1,3,1,0,0,0,3,0
0,3,0,2,2,3,1,2,1,0,2,0,0,1,0,2,3,0
1,0,1,0,0,0,0,0,2,1,3,2,2,0,1,2,4,0
2,1,2,1,1,1,1,1,0,2,0,3,1,2,0,0,4,0
0,2,0,2,0,2,2,2,1,0,1,0,0,1,0,1,4,0
1,3,2,1,1,3,3,0,2,1,2,1,2,0,0,0,4,0
2,0,1,1,2,0,0,1,0,1,2,0,1,2,1,1,5,0
0,1,0,0,0,1,1,0,2,2,3,1,0,0,0,2,5,0
1,2,1,2,1,2,2,2,0,0,0,2,1,1,1,0,5,0
2,3,2,0,0,3,3,1,1,2,1,3,2,2,0,2,5,0
0,0,0,1,2,0,0,2,1,0,2,0,0,0,1,0,6,0
1,1,1,2,1,1,1,0,0,1,3,1,1,1,0,1,6,0
2,2,2,0,0,2,2,1,2,2,0,2,0,2,0,1,6,0
2,3,1,2,2,3,3,2,1,0,1,3,2,1,1,2,6,0
0,0,2,1,2,0,0,0,0,0,2,0,1,0,1,0,7,0
1,1,0,2,1,1,1,1,1,1,3,1,2,1,0,1,7,0
2,2,1,0,0,2,2,2,2,2,0,2,0,2,1,2,7,0
2,3,2,2,0,3,3,2,1,0,1,3,2,1,1,2,7,0
0,0,2,1,2,0,0,0,0,0,2,0,1,0,1,0,8,0
1,1,0,2,1,1,1,1,1,1,3,1,2,1,0,1,8,0
2,2,1,0,0,2,2,2,2,2,0,2,0,2,1,2,8,0
1,3,0,1,0,3,3,2,0,0,1,3,1,1,0,2,8,0
0,0,2,1,2,0,0,0,0,0,2,0,1,0,1,0,9,0
1,1,0,2,1,1,1,1,1,1,3,1,2,1,0,1,9,0
2,2,1,0,0,2,2,2,2,2,0,2,0,2,0,2,9,0
0,3,0,0,1,3,3,2,1,0,1,3,2,1,1,2,9,0
1,2,1,1,1,3,2,1,0,1,1,2,0,1,1,1,1,0
1,0,0,0,2,1,0,2,1,0,0,3,0,0,0,0,4,0
0,3,0,1,1,1,3,2,1,1,3,0,1,1,1,1,2,0
1,0,1,2,1,0,3,2,2,1,0,2,0,0,1,2,3,0
