# ACTS Test Suite Generation: Mon May 22 16:52:28 CST 2023
#  "*" represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 10
# Maximum number of values per parameter: 4
# Number of configurations: 15
P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
1,0,0,0,1,1,1,1,1,1
0,0,1,0,2,2,2,2,2,2
1,0,2,0,0,0,0,0,0,0
0,0,0,1,2,0,1,2,0,1
1,0,1,1,0,1,2,0,1,2
0,0,2,1,1,2,0,1,2,0
1,0,0,2,0,2,1,0,2,1
0,0,1,2,1,0,2,1,0,2
1,0,2,2,2,1,0,2,1,0
0,0,0,3,0,2,2,1,0,0
1,0,1,3,1,0,0,2,1,1
0,0,2,3,2,1,1,0,2,2
0,0,0,2,1,1,0,0,0,2
0,0,1,3,2,2,1,1,1,0
0,0,2,1,0,0,2,2,2,1
