# ACTS Test Suite Generation: Mon May 22 20:55:21 CST 2023
#  "*" represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 9
# Maximum number of values per parameter: 7
# Number of configurations: 50
P0,P1,P2,P3,P4,P5,P6,P7,P8
1,1,1,0,0,1,1,1,0
2,2,2,0,1,2,2,2,0
0,0,0,0,2,3,3,0,0
1,2,0,0,3,4,4,1,0
2,0,1,0,4,0,0,2,0
0,1,2,0,5,1,2,0,0
1,0,2,0,6,2,3,1,0
2,1,0,1,0,3,4,2,0
0,2,1,1,1,4,0,0,0
1,2,2,1,2,0,1,1,0
2,0,1,1,3,1,3,2,0
0,1,0,1,4,2,4,0,0
1,2,1,1,5,3,0,1,0
2,0,0,1,6,4,2,2,0
0,1,2,2,0,0,3,0,0
1,0,0,2,1,1,4,1,0
2,1,1,2,2,2,0,2,0
0,2,2,2,3,3,1,0,0
1,1,2,2,4,4,2,1,0
2,0,0,2,5,0,4,2,0
0,2,1,2,6,1,0,0,0
2,0,0,3,0,2,1,1,0
0,1,1,3,1,3,2,2,0
1,2,2,3,2,4,3,0,0
2,1,0,3,3,0,0,2,0
0,2,2,3,4,1,1,2,0
1,0,2,3,5,2,3,2,0
1,1,1,3,6,3,4,0,0
2,2,2,4,0,4,1,0,0
0,0,0,4,1,0,2,1,0
1,1,1,4,2,1,4,2,0
2,2,2,4,3,2,0,2,0
2,2,0,4,4,3,3,2,0
0,2,1,4,5,4,1,2,0
1,0,1,4,6,0,1,1,0
2,0,0,5,0,1,2,0,0
0,2,1,5,1,2,3,1,0
1,1,2,5,2,3,4,2,0
0,2,0,5,3,4,0,0,0
1,2,0,5,4,0,1,1,0
0,0,0,5,5,3,0,1,0
2,1,2,5,6,3,3,2,0
2,0,0,6,0,1,0,0,0
0,2,1,6,1,2,1,1,0
1,1,2,6,2,3,2,2,0
0,1,1,6,3,4,3,1,0
0,1,0,6,4,0,4,0,0
1,0,1,6,5,3,1,0,0
0,0,0,6,6,1,3,0,0
2,0,1,2,3,4,2,0,0
