2023-05-21 22:33:56.449 [main] INFO  org.restct.RESTCT - Operations: 14
2023-05-21 22:33:56.475 [main] INFO  org.restct.RESTCT - Examples found: 18
2023-05-21 22:33:56.576 [main] INFO  org.restct.RESTCT - Uncovered combinations: 91, sequence length: 14
2023-05-21 22:33:56.594 [main] INFO  org.restct.RESTCT - Uncovered combinations: 59, sequence length: 14
2023-05-21 22:33:56.603 [main] INFO  org.restct.RESTCT - Uncovered combinations: 38, sequence length: 13
2023-05-21 22:33:56.610 [main] INFO  org.restct.RESTCT - Uncovered combinations: 24, sequence length: 11
2023-05-21 22:33:56.615 [main] INFO  org.restct.RESTCT - Uncovered combinations: 15, sequence length: 10
2023-05-21 22:33:56.620 [main] INFO  org.restct.RESTCT - Uncovered combinations: 11, sequence length: 9
2023-05-21 22:33:56.624 [main] INFO  org.restct.RESTCT - Uncovered combinations: 7, sequence length: 8
2023-05-21 22:33:56.629 [main] INFO  org.restct.RESTCT - Uncovered combinations: 4, sequence length: 6
2023-05-21 22:33:56.632 [main] INFO  org.restct.RESTCT - Uncovered combinations: 2, sequence length: 4
2023-05-21 22:33:56.634 [main] INFO  org.restct.RESTCT - Uncovered combinations: 0, sequence length: 3
2023-05-21 22:33:56.659 [main] INFO  org.restct.RESTCT - 1-th operation: post*http://dev.virtualearth.net/REST/v1/Routes/DistanceMatrix
