2023-05-22 17:28:32.877 [main] INFO  org.restct.RESTCT - 4-th operation: post*http://dev.virtualearth.net/REST/v1/Routes/OptimizeItinerary
2023-05-22 17:28:32.886 [main] INFO  org.restct.RESTCT -         generate new domains...
2023-05-22 17:28:32.886 [main] INFO  org.restct.RESTCT -             key: 1 - [Enum=Av4fQ9XDFL4V7pk6Y0_gwG71JhO_ABjvJDdudpG8bztUgaHiWllH7Dmo9IYnwgVb]
2023-05-22 17:28:32.886 [main] INFO  org.restct.RESTCT -             name: 3 - [Random=GnzaVodLQHncAuxAZPAxXTLknQuk7ykW3j, Random=DurQ0G1On87ECx3OOF3vtayvcLQhwgMJRW, Random=jO6TFl5zPwE6OzZ4Rt]
2023-05-22 17:28:32.887 [main] INFO  org.restct.RESTCT -             startTime: 6 - [Random=Random, Random=2023-05-22T17:21:59, Random=Random, Random=2023-05-21T17:21:59, Random=Random, Random=2023-05-24T17:21:59]
2023-05-22 17:28:32.887 [main] INFO  org.restct.RESTCT -             latitude: 3 - [Random=-83.28036985215388, Random=-55.04370146247012, Random=14.945283899170505]
2023-05-22 17:28:32.887 [main] INFO  org.restct.RESTCT -             longitude: 3 - [Random=145.64876007543592, Random=68.30211406538041, Random=-32.07644360622183]
2023-05-22 17:28:32.887 [main] INFO  org.restct.RESTCT -             endTime: 6 - [Random=Random, Random=2023-05-22T17:21:59, Random=Random, Random=2023-05-21T17:21:59, Random=Random, Random=2023-05-24T17:21:59]
2023-05-22 17:28:32.887 [main] INFO  org.restct.RESTCT -             duration: 4 - [Random=cK0S5VpCWxwVeCxoOIPRwLPaQSNlNhmNg6, Random=ZiToIWDTI80nlirfTtMQ, Random=gI2GqJDbWHoqpF7oq, NULL=null]
2023-05-22 17:28:32.887 [main] INFO  org.restct.RESTCT -             fixedPrice: 3 - [Random=32.52604544115682, Random=43.706626938860936, Random=15.256324030384516]
2023-05-22 17:28:32.888 [main] INFO  org.restct.RESTCT -             pricePerKM: 3 - [Random=11.435121956280703, Random=25.184387300878107, Random=9.332589668198777]
2023-05-22 17:28:32.888 [main] INFO  org.restct.RESTCT -             pricePerHour: 3 - [Random=85.31422241812261, Random=94.97581470898416, Random=67.1622118242403]
2023-05-22 17:28:32.888 [main] INFO  org.restct.RESTCT -             capacity: 4 - [Random=68, Random=9, Random=79, NULL=null]
2023-05-22 17:28:32.888 [main] INFO  org.restct.RESTCT -             openingTime: 6 - [Random=Random, Random=2023-05-22T17:21:59, Random=Random, Random=2023-05-21T17:21:59, Random=Random, Random=2023-05-24T17:21:59]
2023-05-22 17:28:32.888 [main] INFO  org.restct.RESTCT -             closingTime: 6 - [Random=Random, Random=2023-05-22T17:21:59, Random=Random, Random=2023-05-21T17:21:59, Random=Random, Random=2023-05-24T17:21:59]
2023-05-22 17:28:32.888 [main] INFO  org.restct.RESTCT -             dwellTime: 3 - [Random=HXt52PwoTQ3eA6mptX8aK, Random=9DqU63DfOJDyceSaQayPZV4hRwLq, Random=npmghkxUTfuox82PeAlDSvSqYgo]
2023-05-22 17:28:32.888 [main] INFO  org.restct.RESTCT -             priority: 3 - [Random=36, Random=26, Random=51]
2023-05-22 17:28:32.889 [main] INFO  org.restct.RESTCT -             quantity: 4 - [Random=28, Random=15, Random=93, NULL=null]
2023-05-22 17:28:32.889 [main] INFO  org.restct.RESTCT -             depot: 3 - [Enum=false, Enum=true, NULL=null]
2023-05-22 17:28:32.889 [main] INFO  org.restct.RESTCT -             dropOffFrom: 4 - [Random=IG4zGcgi5, Random=qZpB7JnPupWACn2Cjc6Ou8AWPr2M6, Random=tQIAftHhe, NULL=null]
2023-05-22 17:28:32.889 [main] INFO  org.restct.RESTCT -             type: 3 - [Enum=SimpleRequest, Enum=TrafficRequest, NULL=null]
2023-05-22 17:28:32.889 [main] INFO  org.restct.RESTCT -             roadnetwork: 3 - [Enum=false, Enum=true, NULL=null]
2023-05-22 17:28:32.889 [main] INFO  org.restct.RESTCT -             costvalue: 4 - [Enum=TravelTime, Enum=Distance, Enum=Price, NULL=null]
2023-05-22 17:28:33.560 [main] INFO  org.restct.RESTCT -         4-th operation essential parameters covering array size: 294, parameters: 21, constraints: 0
