2023-05-22 20:29:54.586 [main] INFO  org.restct.RESTCT - 6-th operation: post*http://dev.virtualearth.net/REST/v1/Routes/SnapToRoadAsync
2023-05-22 20:29:54.594 [main] INFO  org.restct.RESTCT -         generate new domains...
2023-05-22 20:29:54.594 [main] INFO  org.restct.RESTCT -             latitude: 3 - [Random=-48.45669901627056, Random=50.62822429937992, Random=52.61720802236357]
2023-05-22 20:29:54.594 [main] INFO  org.restct.RESTCT -             longitude: 3 - [Random=-57.27897082092015, Random=-164.12757913675057, Random=51.130590559081185]
2023-05-22 20:29:54.594 [main] INFO  org.restct.RESTCT -             interpolate: 3 - [Enum=false, Enum=true, NULL=null]
2023-05-22 20:29:54.595 [main] INFO  org.restct.RESTCT -             includeSpeedLimit: 3 - [Enum=false, Enum=true, NULL=null]
2023-05-22 20:29:54.595 [main] INFO  org.restct.RESTCT -             includeTruckSpeedLimit: 3 - [Enum=false, Enum=true, NULL=null]
2023-05-22 20:29:54.595 [main] INFO  org.restct.RESTCT -             speedUnit: 3 - [Enum=MPH, Enum=KPH, NULL=null]
2023-05-22 20:29:54.595 [main] INFO  org.restct.RESTCT -             travelMode: 3 - [Enum=driving, Enum=walking, NULL=null]
2023-05-22 20:29:54.595 [main] INFO  org.restct.RESTCT -             dimensionUnit: 5 - [Enum=meter, Enum=m, Enum=foot, Enum=ft, NULL=null]
2023-05-22 20:29:54.596 [main] INFO  org.restct.RESTCT -             weightUnit: 5 - [Enum=kilogram , Enum=kg, Enum=pound , Enum=lb, NULL=null]
2023-05-22 20:29:54.596 [main] INFO  org.restct.RESTCT -             vehicleHeight: 3 - [Random=4, Default=5, NULL=null]
2023-05-22 20:29:54.596 [main] INFO  org.restct.RESTCT -             vehicleWidth: 3 - [Random=3., Default=3.5, NULL=null]
2023-05-22 20:29:54.597 [main] INFO  org.restct.RESTCT -             vehicleLength: 3 - [Random=7, Default=30, NULL=null]
2023-05-22 20:29:54.597 [main] INFO  org.restct.RESTCT -             vehicleWeight: 3 - [Random=4, Default=30000, NULL=null]
2023-05-22 20:29:54.597 [main] INFO  org.restct.RESTCT -             vehicleAxles: 3 - [Random=5, Default=3, NULL=null]
2023-05-22 20:29:54.597 [main] INFO  org.restct.RESTCT -             vehicleTrailers: 3 - [Random=5, Default=2, NULL=null]
2023-05-22 20:29:54.598 [main] INFO  org.restct.RESTCT -             vehicleSemi: 3 - [Enum=false, Enum=true, NULL=null]
2023-05-22 20:29:54.598 [main] INFO  org.restct.RESTCT -             vehicleMaxGradient: 3 - [Random=2, Default=10, NULL=null]
2023-05-22 20:29:54.598 [main] INFO  org.restct.RESTCT -             vehicleMinTurnRadius: 3 - [Random=5, Default=15, NULL=null]
2023-05-22 20:29:54.598 [main] INFO  org.restct.RESTCT -             vehicleAvoidCrossWind: 3 - [Enum=false, Enum=true, NULL=null]
2023-05-22 20:29:54.598 [main] INFO  org.restct.RESTCT -             vehicleAvoidGroundingRisk: 3 - [Enum=false, Enum=true, NULL=null]
2023-05-22 20:29:54.598 [main] INFO  org.restct.RESTCT -             vehicleHazardousMaterials: 25 - [Enum=Combustable, Enum=C, Enum=Corrosive, Enum=Cr, Enum=Explosive, Enum=E, Enum=Flammable, Enum=F, Enum=FlammableSolid, Enum=FS, Enum=Gas, Enum=G, Enum=GoodsHarmfulToWater, Enum=WH, Enum=Organic, Enum=O, Enum=Other, Enum=Poison, Enum=P, Enum=PoisonousInhalation, Enum=PI, Enum=Radioactive, Enum=R, Enum=None, NULL=null]
2023-05-22 20:29:54.598 [main] INFO  org.restct.RESTCT -             vehicleHazardousPermits: 23 - [Enum=AllAppropriateForLoad, Enum=Combustable, Enum=C, Enum=Corrosive, Enum=Cr, Enum=Explosive, Enum=E, Enum=Flammable, Enum=F, Enum=FlammableSolid, Enum=FS, Enum=Gas, Enum=G, Enum=Organic, Enum=O, Enum=Poison, Enum=P, Enum=PoisonousInhalation, Enum=PI, Enum=Radioactive, Enum=R, Enum=None, NULL=null]
2023-05-22 20:29:54.599 [main] INFO  org.restct.RESTCT -             key: 1 - [Enum=Av4fQ9XDFL4V7pk6Y0_gwG71JhO_ABjvJDdudpG8bztUgaHiWllH7Dmo9IYnwgVb]
2023-05-22 20:29:55.718 [main] INFO  org.restct.RESTCT -         6-th operation essential parameters covering array size: 3034, parameters: 23, constraints: 0
